scenario,opex_item,GBP_per_year,pct_of_opex,scaling_basis,note
A1 — Gas district reference (not low-carbon),gas energy,224090.0,34.43,variable,Hourly dispatch x gas price
A1 — Gas district reference (not low-carbon),insurance and rates,120000.0,18.44,fixed,Flat £/yr — does not scale
A1 — Gas district reference (not low-carbon),operator overhead,100000.0,15.37,fixed,Flat £/yr — does not scale
A1 — Gas district reference (not low-carbon),technology and network O&M,79453.0,12.21,plant,Per-technology % of that asset's own CAPEX
A1 — Gas district reference (not low-carbon),billing and customer service,60000.0,9.22,fixed,Flat £/yr — arguably should be per-connection
A1 — Gas district reference (not low-carbon),water treatment,35000.0,5.38,fixed,Flat £/yr — does not scale
A1 — Gas district reference (not low-carbon),land lease,25000.0,3.84,fixed,Flat £/yr — does not scale
A1 — Gas district reference (not low-carbon),electricity energy,7224.0,1.11,variable,Hourly dispatch x hourly tariff
A1 — Gas district reference (not low-carbon),third party heat energy,0.0,0.0,variable,Hourly dispatch x purchase price
A3 — ASHP plus gas peak/backup,electricity energy,648545.0,56.51,variable,Hourly dispatch x hourly tariff
A3 — ASHP plus gas peak/backup,technology and network O&M,123509.0,10.76,plant,Per-technology % of that asset's own CAPEX
A3 — ASHP plus gas peak/backup,insurance and rates,120000.0,10.46,fixed,Flat £/yr — does not scale
A3 — ASHP plus gas peak/backup,operator overhead,100000.0,8.71,fixed,Flat £/yr — does not scale
A3 — ASHP plus gas peak/backup,billing and customer service,60000.0,5.23,fixed,Flat £/yr — arguably should be per-connection
A3 — ASHP plus gas peak/backup,gas energy,35631.0,3.1,variable,Hourly dispatch x gas price
A3 — ASHP plus gas peak/backup,water treatment,35000.0,3.05,fixed,Flat £/yr — does not scale
A3 — ASHP plus gas peak/backup,land lease,25000.0,2.18,fixed,Flat £/yr — does not scale
A3 — ASHP plus gas peak/backup,third party heat energy,0.0,0.0,variable,Hourly dispatch x purchase price
A4 — Data-centre heat plus booster and backup,electricity energy,758289.0,60.23,variable,Hourly dispatch x hourly tariff
A4 — Data-centre heat plus booster and backup,technology and network O&M,125738.0,9.99,plant,Per-technology % of that asset's own CAPEX
A4 — Data-centre heat plus booster and backup,insurance and rates,120000.0,9.53,fixed,Flat £/yr — does not scale
A4 — Data-centre heat plus booster and backup,operator overhead,100000.0,7.94,fixed,Flat £/yr — does not scale
A4 — Data-centre heat plus booster and backup,billing and customer service,60000.0,4.77,fixed,Flat £/yr — arguably should be per-connection
A4 — Data-centre heat plus booster and backup,gas energy,35051.0,2.78,variable,Hourly dispatch x gas price
A4 — Data-centre heat plus booster and backup,water treatment,35000.0,2.78,fixed,Flat £/yr — does not scale
A4 — Data-centre heat plus booster and backup,land lease,25000.0,1.99,fixed,Flat £/yr — does not scale
A4 — Data-centre heat plus booster and backup,third party heat energy,0.0,0.0,variable,Hourly dispatch x purchase price
A5 — EfW export plus ASHP and backup,technology and network O&M,202072.0,27.6,plant,Per-technology % of that asset's own CAPEX
A5 — EfW export plus ASHP and backup,electricity energy,139573.0,19.06,variable,Hourly dispatch x hourly tariff
A5 — EfW export plus ASHP and backup,insurance and rates,120000.0,16.39,fixed,Flat £/yr — does not scale
A5 — EfW export plus ASHP and backup,operator overhead,100000.0,13.66,fixed,Flat £/yr — does not scale
A5 — EfW export plus ASHP and backup,billing and customer service,60000.0,8.2,fixed,Flat £/yr — arguably should be per-connection
A5 — EfW export plus ASHP and backup,third party heat energy,49044.0,6.7,variable,Hourly dispatch x purchase price
A5 — EfW export plus ASHP and backup,water treatment,35000.0,4.78,fixed,Flat £/yr — does not scale
A5 — EfW export plus ASHP and backup,land lease,25000.0,3.41,fixed,Flat £/yr — does not scale
A5 — EfW export plus ASHP and backup,gas energy,1428.0,0.2,variable,Hourly dispatch x gas price
A6 — Four-pipe heating and cooling,electricity energy,779047.0,57.52,variable,Hourly dispatch x hourly tariff
A6 — Four-pipe heating and cooling,technology and network O&M,195882.0,14.46,plant,Per-technology % of that asset's own CAPEX
A6 — Four-pipe heating and cooling,insurance and rates,120000.0,8.86,fixed,Flat £/yr — does not scale
A6 — Four-pipe heating and cooling,operator overhead,100000.0,7.38,fixed,Flat £/yr — does not scale
A6 — Four-pipe heating and cooling,billing and customer service,60000.0,4.43,fixed,Flat £/yr — arguably should be per-connection
A6 — Four-pipe heating and cooling,gas energy,39414.0,2.91,variable,Hourly dispatch x gas price
A6 — Four-pipe heating and cooling,water treatment,35000.0,2.58,fixed,Flat £/yr — does not scale
A6 — Four-pipe heating and cooling,land lease,25000.0,1.85,fixed,Flat £/yr — does not scale
A6 — Four-pipe heating and cooling,third party heat energy,0.0,0.0,variable,Hourly dispatch x purchase price
