Variable,Value,NPV (£m),IRR (%),Unmet heat (MWh),Carbon (gCO2e/kWh),Required tariff (p/kWh),Outcome
Total network route (m),800.0,-3.98038706,,0.0,52.8,10.76,DO NOT PROGRESS
Total network route (m),1000.0,-4.6210105,,0.0,53.199999999999996,11.244,DO NOT PROGRESS
Total network route (m),1200.0,-5.26161684,,0.0,53.6,11.728,DO NOT PROGRESS
Total network route (m),1500.0,-6.2225002300000005,,0.0,54.199999999999996,12.454,DO NOT PROGRESS
Total network route (m),1800.0,-7.1833295,,0.0,54.800000000000004,13.18,DO NOT PROGRESS
Total network route (m),2200.0,-8.464375789999998,,0.0,55.599999999999994,14.147,DO NOT PROGRESS
Total network route (m),2500.0,-9.42511225,,0.0,56.2,14.873,DO NOT PROGRESS
Total network route (m),2750.0,-10.22571417,,0.0,56.7,15.478,DO NOT PROGRESS
Total network route (m),3000.0,-11.0262646,,0.0,57.2,16.083,DO NOT PROGRESS
Waste-heat fee (£/MWh),0.0,-5.26161684,,0.0,53.6,11.728,DO NOT PROGRESS
Waste-heat fee (£/MWh),5.0,-5.65738753,,0.0,53.6,12.027,DO NOT PROGRESS
Waste-heat fee (£/MWh),10.0,-6.053158219999999,,0.0,53.6,12.326,DO NOT PROGRESS
Waste-heat fee (£/MWh),15.0,-6.44892891,,0.0,53.6,12.625,DO NOT PROGRESS
Waste-heat fee (£/MWh),20.0,-6.844699599999999,,0.0,53.6,12.924,DO NOT PROGRESS
Waste-heat fee (£/MWh),40.0,-8.42778236,,0.0,53.6,14.12,DO NOT PROGRESS
Waste-heat fee (£/MWh),55.0,-9.61509443,,0.0,53.6,15.017,DO NOT PROGRESS
Waste-heat fee (£/MWh),60.0,-10.01086512,,0.0,53.6,15.316,DO NOT PROGRESS
Source temperature (C),20.0,-10.62357108,,0.0,73.1,15.778,DO NOT PROGRESS
Source temperature (C),25.0,-9.285811970000001,,0.0,68.0,14.768,DO NOT PROGRESS
Source temperature (C),30.0,-7.94805285,,0.0,62.9,13.757,DO NOT PROGRESS
Source temperature (C),35.0,-6.61029374,,0.0,57.8,12.747,DO NOT PROGRESS
Source temperature (C),40.0,-5.26161684,,0.0,53.6,11.728,DO NOT PROGRESS
Source temperature (C),45.0,-3.9217981099999997,,0.0,52.2,10.716,DO NOT PROGRESS
Source availability (%),60.0,-9.4805311,,0.0,101.8,14.915,DO NOT PROGRESS
Source availability (%),65.0,-4.78600972,,0.0,95.69999999999999,11.369,DO NOT PROGRESS
Source availability (%),75.0,-4.91184774,,0.0,84.6,11.464,DO NOT PROGRESS
Source availability (%),85.0,-5.0509808099999995,,0.0,72.3,11.569,DO NOT PROGRESS
Source availability (%),90.0,-5.13790631,,0.0,64.60000000000001,11.635,DO NOT PROGRESS
Source availability (%),95.0,-5.22930488,,0.0,56.5,11.704,DO NOT PROGRESS
Source availability (%),97.0,-5.26161684,,0.0,53.6,11.728,DO NOT PROGRESS
Source availability (%),99.0,-5.29462483,,0.0,50.7,11.753,DO NOT PROGRESS
GHNF eligible-cost rate (%),0.0,-10.02372984,,0.0,53.6,15.325,DO NOT PROGRESS
GHNF eligible-cost rate (%),5.0,-9.53779984,,0.0,53.6,14.958,DO NOT PROGRESS
GHNF eligible-cost rate (%),10.0,-9.05186984,,0.0,53.6,14.591,DO NOT PROGRESS
GHNF eligible-cost rate (%),20.0,-8.08000984,,0.0,53.6,13.857,DO NOT PROGRESS
GHNF eligible-cost rate (%),34.0,-6.7194068399999995,,0.0,53.6,12.829,DO NOT PROGRESS
GHNF eligible-cost rate (%),40.0,-6.13629084,,0.0,53.6,12.389,DO NOT PROGRESS
GHNF eligible-cost rate (%),45.0,-5.65036084,,0.0,53.6,12.022,DO NOT PROGRESS
GHNF eligible-cost rate (%),49.0,-5.26161684,,0.0,53.6,11.728,DO NOT PROGRESS
Connection contribution (£/kW),0.0,-12.81274807,,0.0,53.6,17.432,DO NOT PROGRESS
Connection contribution (£/kW),300.0,-10.5474087,,0.0,53.6,15.721,DO NOT PROGRESS
Connection contribution (£/kW),400.0,-9.79229558,,0.0,53.6,15.15,DO NOT PROGRESS
Connection contribution (£/kW),450.0,-9.414739019999999,,0.0,53.6,14.865,DO NOT PROGRESS
Connection contribution (£/kW),500.0,-9.03718246,,0.0,53.6,14.58,DO NOT PROGRESS
Connection contribution (£/kW),600.0,-8.28206933,,0.0,53.6,14.01,DO NOT PROGRESS
Connection contribution (£/kW),800.0,-6.77184309,,0.0,53.6,12.869,DO NOT PROGRESS
Connection contribution (£/kW),1000.0,-5.26161684,,0.0,53.6,11.728,DO NOT PROGRESS
Connection contribution (£/kW),1200.0,-3.7513906,,0.0,53.6,10.587,DO NOT PROGRESS
Customer heat tariff (p/kWh),6.0,-0.34965814,9.416577,0.0,53.6,6.264,DO NOT PROGRESS
Customer heat tariff (p/kWh),6.3,0.0474908,10.642107000000001,0.0,53.6,6.264,VIABLE SCREEN
Customer heat tariff (p/kWh),7.0,0.97417167,13.231828,0.0,53.6,6.264,VIABLE SCREEN
Customer heat tariff (p/kWh),8.0,2.2980014900000003,16.517256,0.0,53.6,6.264,VIABLE SCREEN
Customer heat tariff (p/kWh),9.0,3.62183131,19.500869,0.0,53.6,6.264,VIABLE SCREEN
Customer heat tariff (p/kWh),9.56,4.36317601,21.079152,0.0,53.6,6.264,VIABLE SCREEN
Customer heat tariff (p/kWh),10.0,4.9456611299999995,22.281931999999998,0.0,53.6,6.264,VIABLE SCREEN
Customer heat tariff (p/kWh),11.0,6.269490940000001,24.913843999999997,0.0,53.6,6.264,VIABLE SCREEN
Customer heat tariff (p/kWh),12.0,7.59332076,27.429367,0.0,53.6,6.264,VIABLE SCREEN
Recoverable source heat (MW),1.0,-3.59125883,,0.0,99.1,10.466,DO NOT PROGRESS
Recoverable source heat (MW),1.5,-4.503681240000001,,0.0,69.5,11.156,DO NOT PROGRESS
Recoverable source heat (MW),2.0,-5.26161684,,0.0,53.6,11.728,DO NOT PROGRESS
Recoverable source heat (MW),2.5,-5.928039490000001,,0.0,45.699999999999996,12.232,DO NOT PROGRESS
Recoverable source heat (MW),3.0,-6.54290945,,0.0,42.2,12.696,DO NOT PROGRESS
Recoverable source heat (MW),3.6,-7.24673887,,0.0,40.9,13.228,DO NOT PROGRESS
Recoverable source heat (MW),4.5,-8.28318631,,0.0,40.599999999999994,14.011,DO NOT PROGRESS
Recoverable source heat (MW),5.5,-9.43106775,,0.0,40.599999999999994,14.878,DO NOT PROGRESS
Recoverable source heat (MW),7.0,-11.152829070000001,,0.0,40.599999999999994,16.178,DO NOT PROGRESS
