Group,Scenario,Decision,Failed gates,Route (km),Heat density (MWh/m/yr),Heat demand (GWh/yr),Cooling demand (GWh/yr),Gross CAPEX (£m),Net CAPEX after grant (£m),Annual OPEX (£m),Investor NPV (£m),Investor IRR (%),Hurdle rate (%),Break-even heat tariff (p/kWh),Carbon (gCO2e/kWh),Unmet heat (MWh/yr),N-1 heat margin (MW)
Worked technology option,A1 — Gas district reference (not low-carbon),FAIL,Carbon intensity; Investor NPV; Investor IRR,3.0,4.705,14.115,0.0,19.263091,19.263091,0.823145,-17.303576399999997,-3.9329490000000003,10.5,23.129,206.1,0.0,-8.681
Worked technology option,A3 — ASHP plus gas peak/backup,FAIL,Carbon intensity; Investor NPV; Investor IRR,3.0,4.705,14.115,0.0,20.450116,20.450116,1.842163,-27.06343607,,10.5,31.598,111.4,0.15,-6.654
Worked technology option,A4 — Data-centre heat plus booster and backup,FAIL,Carbon intensity; Investor NPV; Investor IRR,3.0,4.705,14.115,0.0,23.121022,23.121022,2.080126,-31.79945918,,10.5,35.708,121.80000000000001,0.28,-5.681
Worked technology option,A5 — EfW export plus ASHP and backup,FAIL,Investor NPV; Investor IRR,3.0,4.705,14.115,0.0,23.243116,23.243116,0.919083,-22.4915501,-9.554891999999999,10.5,27.631,69.3,0.0,-3.654
Worked technology option,A6 — Four-pipe heating and cooling,FAIL,Carbon intensity; Investor NPV; Investor IRR,3.0,4.705,14.115,1.9112,28.519656,28.519656,2.024804,-36.15926911,,10.5,39.491,103.8,0.15,-6.654
Route/commercial feasibility,F1 - Dense town-centre core / public appraisal,FAIL,Investor NPV; Investor IRR,2.148,6.593,14.161200000000001,0.0,21.635191,16.322272,1.355468,-18.922909899999997,,3.5000000000000004,14.011,55.5,0.0,-4.39
Route/commercial feasibility,F2 - Compact anchor cluster / private hurdle,FAIL,Investor NPV; Investor IRR,1.8,7.867,14.161200000000001,0.0,19.940257,13.113922,1.329459,-8.11132737,,10.5,13.881,54.800000000000004,0.0,-4.372
Route/commercial feasibility,F3 - Extended lower-density route / reject,FAIL,Investor NPV; Investor IRR,3.0,4.72,14.161200000000001,0.0,25.784856,19.061051,1.419075,-23.020018620000002,,3.5000000000000004,15.366,57.3,0.49,-4.434
Data-centre waste heat,DC1 - Data-centre-only service stress test,FAIL,Heat and cooling service; Investor NPV; Investor IRR,1.2,11.801,14.161200000000001,0.0,18.894558,12.580615,1.314066,-7.89296355,,10.5,13.716,35.1,314.19,-7.141
Data-centre waste heat,DC2 - Typical air-cooled data centre plus reserve,FAIL,Investor NPV; Investor IRR,1.8,7.867,14.161200000000001,0.0,21.549057,13.93441,1.714926,-12.94050744,,10.5,17.529,55.5,0.0,-0.372
Data-centre waste heat,DC3 - Compact liquid-cooled baseload hybrid,FAIL,Investor NPV; Investor IRR,1.2,11.801,14.161200000000001,0.0,15.727558,10.965445,1.252297,-5.26161684,,10.5,11.728,53.6,0.0,-4.024
Data-centre waste heat,DC4 - Same compact hybrid without grant or contributions,FAIL,Investor NPV; Investor IRR,1.2,11.801,14.161200000000001,0.0,15.727558,15.727558,1.252297,-17.57486107,,10.5,21.029,53.6,0.0,-4.024
