Technology,Duty,Route (m),Density (MWh/m/yr),Required break-even tariff (p/kWh),Modelled parity tariff (p/kWh)
ASHP + gas backup,Heating only,250,40.635,30.617,8.079
ASHP + gas backup,Heating only,400,25.397,30.94,8.079
ASHP + gas backup,Heating only,600,16.931,31.372,8.079
ASHP + gas backup,Heating only,900,11.287,32.019,8.079
ASHP + gas backup,Heating only,1300,7.814,32.883,8.079
ASHP + gas backup,Heating only,1800,5.644,33.964,8.079
ASHP + gas backup,Heating only,2500,4.064,35.479,8.079
ASHP + gas backup,Heating only,3500,2.902,37.647,8.079
ASHP + gas backup,Heating only,5000,2.032,40.906,8.079
ASHP + gas backup,Heating only,7000,1.451,45.265,8.079
ASHP + gas backup,Heating only,10000,1.016,53.893,8.079
ASHP + gas backup,Heating only,14000,0.726,65.497,8.079
ASHP + gas backup,Heating only,19000,0.535,87.78,8.079
ASHP + gas backup,Heating + cooling,250,46.516999999999996,34.902,8.079
ASHP + gas backup,Heating + cooling,400,29.073,35.549,8.079
ASHP + gas backup,Heating + cooling,600,19.382,36.413,8.079
ASHP + gas backup,Heating + cooling,900,12.921000000000001,37.708,8.079
ASHP + gas backup,Heating + cooling,1300,8.945,39.435,8.079
ASHP + gas backup,Heating + cooling,1800,6.461,41.596,8.079
ASHP + gas backup,Heating + cooling,2500,4.652,44.622,8.079
ASHP + gas backup,Heating + cooling,3500,3.322,48.95,8.079
ASHP + gas backup,Heating + cooling,5000,2.326,57.288,8.079
ASHP + gas backup,Heating + cooling,7000,1.661,69.025,8.079
ASHP + gas backup,Heating + cooling,10000,1.163,86.666,8.079
ASHP + gas backup,Heating + cooling,14000,0.831,110.254,8.079
ASHP + gas backup,Heating + cooling,19000,0.612,148.644,8.079
EfW + ASHP (no gas),Heating only,250,40.635,23.083,8.079
EfW + ASHP (no gas),Heating only,400,25.397,23.369,8.079
EfW + ASHP (no gas),Heating only,600,16.931,23.75,8.079
EfW + ASHP (no gas),Heating only,900,11.287,24.323,8.079
EfW + ASHP (no gas),Heating only,1300,7.814,25.086,8.079
EfW + ASHP (no gas),Heating only,1800,5.644,26.041,8.079
EfW + ASHP (no gas),Heating only,2500,4.064,27.38,8.079
EfW + ASHP (no gas),Heating only,3500,2.902,29.297,8.079
EfW + ASHP (no gas),Heating only,5000,2.032,32.18,8.079
EfW + ASHP (no gas),Heating only,7000,1.451,36.559,8.079
EfW + ASHP (no gas),Heating only,10000,1.016,44.473,8.079
EfW + ASHP (no gas),Heating only,14000,0.726,55.084,8.079
EfW + ASHP (no gas),Heating only,19000,0.535,76.136,8.079
EfW + ASHP (no gas),Heating + cooling,250,46.516999999999996,27.33,8.079
EfW + ASHP (no gas),Heating + cooling,400,29.073,27.939,8.079
EfW + ASHP (no gas),Heating + cooling,600,19.382,28.752,8.079
EfW + ASHP (no gas),Heating + cooling,900,12.921000000000001,29.971,8.079
EfW + ASHP (no gas),Heating + cooling,1300,8.945,31.598,8.079
EfW + ASHP (no gas),Heating + cooling,1800,6.461,33.632,8.079
EfW + ASHP (no gas),Heating + cooling,2500,4.652,36.482,8.079
EfW + ASHP (no gas),Heating + cooling,3500,3.322,40.659,8.079
EfW + ASHP (no gas),Heating + cooling,5000,2.326,49.072,8.079
EfW + ASHP (no gas),Heating + cooling,7000,1.661,60.307,8.079
EfW + ASHP (no gas),Heating + cooling,10000,1.163,77.197,8.079
EfW + ASHP (no gas),Heating + cooling,14000,0.831,99.787,8.079
EfW + ASHP (no gas),Heating + cooling,19000,0.612,128.142,8.079
Data centre + booster + electric backup,Heating only,250,40.635,29.31,8.079
Data centre + booster + electric backup,Heating only,400,25.397,29.65,8.079
Data centre + booster + electric backup,Heating only,600,16.931,30.104,8.079
Data centre + booster + electric backup,Heating only,900,11.287,30.786,8.079
Data centre + booster + electric backup,Heating only,1300,7.814,31.695,8.079
Data centre + booster + electric backup,Heating only,1800,5.644,32.833,8.079
Data centre + booster + electric backup,Heating only,2500,4.064,34.429,8.079
Data centre + booster + electric backup,Heating only,3500,2.902,36.713,8.079
Data centre + booster + electric backup,Heating only,5000,2.032,40.15,8.079
Data centre + booster + electric backup,Heating only,7000,1.451,44.753,8.079
Data centre + booster + electric backup,Heating only,10000,1.016,60.41,8.079
Data centre + booster + electric backup,Heating only,14000,0.726,72.556,8.079
Data centre + booster + electric backup,Heating only,19000,0.535,87.88,8.079
Data centre + booster + electric backup,Heating + cooling,250,46.516999999999996,33.606,8.079
Data centre + booster + electric backup,Heating + cooling,400,29.073,34.27,8.079
Data centre + booster + electric backup,Heating + cooling,600,19.382,35.156,8.079
Data centre + booster + electric backup,Heating + cooling,900,12.921000000000001,36.485,8.079
Data centre + booster + electric backup,Heating + cooling,1300,8.945,38.259,8.079
Data centre + booster + electric backup,Heating + cooling,1800,6.461,40.476,8.079
Data centre + booster + electric backup,Heating + cooling,2500,4.652,43.584,8.079
Data centre + booster + electric backup,Heating + cooling,3500,3.322,48.029,8.079
Data centre + booster + electric backup,Heating + cooling,5000,2.326,55.506,8.079
Data centre + booster + electric backup,Heating + cooling,7000,1.661,67.488,8.079
Data centre + booster + electric backup,Heating + cooling,10000,1.163,85.512,8.079
Data centre + booster + electric backup,Heating + cooling,14000,0.831,118.443,8.079
Data centre + booster + electric backup,Heating + cooling,19000,0.612,148.765,8.079
